区域,VDC名称,名称,CPU使用率峰值 %,内存使用率峰值 %,CPU取值文件,内存取值文件
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL_WAF,3.27,--,./download/0810.xlsx,./download/0801.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL_VSCAN,27.03,--,./download/0812.xlsx,./download/0801.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL_VLOG,79.39,68.04,./download/0806.xlsx,./download/0806.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL_USM,5.64,--,./download/0802.xlsx,./download/0801.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZSK-0001,5.03,25.07,./download/0803.xlsx,./download/0809.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZS-0002,2.18,44.24,./download/0809.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZS-0001,0.72,20.24,./download/0810.xlsx,./download/0812.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZNGL-0002,7.65,49.26,./download/0807.xlsx,./download/0809.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZNGL-0001,12.29,62.88,./download/0810.xlsx,./download/0809.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZJ-0003,3.91,37.24,./download/0801.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZJ-0002,1.77,39.26,./download/0812.xlsx,./download/0807.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-ZJ-0001,5.12,35.18,./download/0809.xlsx,./download/0807.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-TTS-0002,0.46,59.14,./download/0809.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-TTS-0001,0.52,56.31,./download/0811.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-SSASR-0003,0.42,30.3,./download/0806.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-SSASR-0002,0.56,24.0,./download/0803.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-SSASR-0001,1.02,26.89,./download/0811.xlsx,./download/0813.xlsx
吉林数据中心1,T_TYKF_集团公司统一客服电话信息系统,JL-ZNFW-SS-0002,3.04,43.47,./download/0813.xlsx,./download/0813.xlsx
